,static,equal,shrunk,regime,minvar
2014-06-06,0.006272877416519297,0.005946616722743339,0.0006846679732599867,0.0006846679732599867,0.0007074302132120113
2014-06-09,0.0026521650438316377,0.0018775448982475003,0.0012414942796287977,0.0012414942796287977,0.0012913306744893
2014-06-10,-0.0008466952567178058,0.0037691759871717654,0.004466311459319062,0.004466311459319062,0.004546514049349186
2014-06-11,-0.014981513248952177,-0.004915032708331837,-0.0039172671194623475,-0.0039172671194623475,-0.004007530438078787
2014-06-12,-0.012479260692078439,-0.006274541902281854,-0.0058801822888413045,-0.0058801822888413045,-0.005962269909022749
2014-06-13,0.0008122063745602682,0.001242618382556069,0.0002909142090561897,0.0002909142090561897,0.00026924183118963245
2014-06-16,-0.0035094483290101413,0.0009153059907986648,0.0014194953250018796,0.0014194953250018796,0.0013923542348292773
2014-06-17,0.00021977535607365848,0.0027928863556721515,-0.002800969871685211,-0.002800969871685211,-0.002908420574204624
2014-06-18,0.006190709941845453,0.008613472495002385,0.010066512369577632,0.010066512369577632,0.010148343615235183
2014-06-19,0.004167763646009553,0.0012923246811757212,0.007243052701154606,0.007243052701154606,0.007396714770641334
2014-06-20,0.0004469547435134694,0.0015142254436176536,0.0018640075548964413,0.0018640075548964413,0.0018668791252516243
2014-06-23,-0.0012137483935653363,0.0020342950971440287,-0.0035291278375211513,-0.0035291278375211513,-0.003606320275725788
2014-06-24,-0.00807678760637798,-0.007770684355687739,-0.004600660478330263,-0.004600660478330263,-0.004611500726289566
2014-06-25,-0.00039114623565506077,0.0045086420535209535,0.007129662699843113,0.007129662699843113,0.007187651185062005
2014-06-26,0.00237932542896333,-0.0018267454676044919,-0.001240749031504057,-0.001240749031504057,-0.0011759807166799086
2014-06-27,0.00023922820690307645,-1.3098182065335073e-05,-0.00014424285783003253,-0.00014424285783003253,-0.0002441726792412898
2014-06-30,-0.005547405893524949,0.0004871793924595549,0.0002449751265880657,0.0002449751265880657,0.0002964486991798986
2014-07-01,0.010007270230352807,0.006137357008505716,0.005744179523947286,0.005744179523947286,0.005739942480980596
2014-07-02,-0.0003751501913092617,0.0017994891176628873,0.0031655651318104154,0.0031655651318104154,0.003162086633976316
2014-07-03,0.004382285011137719,0.006142769477782143,0.0029738313310489328,0.0029738313310489328,0.0029264577611531066
2014-07-07,0.0027688898897166624,-0.0020320522767835326,0.002665578125527245,0.002665578125527245,0.002762797167309627
2014-07-08,-0.016817667784072874,-0.009979506595868465,-0.003947944439441819,-0.003947944439441819,-0.003970487529081099
2014-07-09,0.007777453592742834,0.004394110356821031,0.0033873515684735875,0.0033873515684735875,0.003449055911180247
2014-07-10,-0.007375619453534767,-0.004219068399681141,-0.0017734101489046466,-0.0017734101489046466,-0.0017703823693931467
2014-07-11,0.002435767070861342,0.0026378113812617933,-0.002772653580324142,-0.002772653580324142,-0.0027702983918074867
2014-07-14,0.012660941193457512,0.010042891014260496,0.008856466347186759,0.008856466347186759,0.008813997647705123
2014-07-15,0.0014295770969832771,0.00020086248718018088,-0.00808097062696913,-0.00808097062696913,-0.007943604897669319
2014-07-16,0.0039558947985459825,0.0055600445115055455,0.002525722540912472,0.002525722540912472,0.002587260161758941
2014-07-17,-0.01173458402135409,-0.008941801651215043,-0.010035136264221605,-0.010035136264221605,-0.009926145329066256
2014-07-18,0.025573968842005444,0.009931568949322803,0.007547911804016837,0.007547911804016837,0.007534830875266792
2014-07-21,-0.006269703953322878,-0.0013120849406809162,-0.003031556166538508,-0.003031556166538508,-0.0029957270154187363
2014-07-22,0.00980972993399831,0.0045675765449739265,0.0026341607305697956,0.0026341607305697956,0.0025519416846691424
2014-07-23,0.005557134262767557,0.001971706970518305,0.005857162195745392,0.005857162195745392,0.0057169999068876435
2014-07-24,-0.0023693796515347467,-0.0021213459222189173,0.0018246328083880233,0.0018246328083880233,0.0017934499139283288
