Date,instability_index,volatility,correlation,cov_drift,vol_z,corr_z,drift_z
2022-08-05,2.556235792421726,0.021906791935403742,0.4443785042795285,0.0007716046339821298,2.2995657810256986,0.4116899583602092,4.957451637879271
2022-08-08,0.8050333609538568,0.021773996580110828,0.4445025246921908,7.676490235986849e-05,2.2615869803396635,0.41261564922193655,-0.2591025467000298
2022-08-09,0.9601138520715718,0.02169234321544165,0.44790866062312484,0.00013845873775882587,2.2382345305851183,0.438039116515602,0.2040679091139953
2022-08-10,0.8856773214003867,0.021661530206479603,0.45159222179290215,0.00010622572821431056,2.2294221656998756,0.46553329138793864,-0.03792349288665394
2022-08-11,0.9753203570883171,0.021710026009226887,0.4512905363297178,0.0001404993378277013,2.2432917202681493,0.46328150500543247,0.21938784599136985
2022-08-12,0.958237599189118,0.021612290028801644,0.448022266974609,0.00014064561046801845,2.215339723662267,0.4388870766146337,0.22048599729045354
2022-08-15,0.9677532021392143,0.02074759118452053,0.44760477537908877,0.00017780312950768328,1.9680402229533804,0.435770910924447,0.4994484725398158
2022-08-16,2.059726980569001,0.020675459765911303,0.4189406995347141,0.0006453981453754243,1.9474110016638393,0.22182167063891003,4.009948269404254
2022-08-17,0.5785280006123306,0.02056151324296437,0.4197011272198298,5.710022426725286e-05,1.9148228717979816,0.22749751821920175,-0.4067363881801915
2022-08-18,0.7488625467128549,0.02018370429522044,0.42669591574307913,0.00013260351657562854,1.8067714215637662,0.2797067608486266,0.16010945772617197
2022-08-19,1.1335485399392227,0.020152000744162187,0.4115990555017362,0.0003025398899955102,1.7977043661383336,0.16702349148844847,1.435917762190886
2022-08-22,0.7131453967986324,0.020246741557176467,0.4160259511603367,0.00012653777360550748,1.824799759997295,0.20006592997916267,0.11457050041943967
2022-08-23,0.7063345989970712,0.020221564077256542,0.42060306271186787,0.00012022475244518155,1.8175991279454715,0.23422958292471652,0.06717508612102567
2022-08-24,0.7774553007085078,0.020082324388794755,0.4129536513377801,0.00016155364258621033,1.7777772805321235,0.17713422213223523,0.3774543994611649
2022-08-25,0.6985055542874951,0.02006452737216235,0.4069931778363781,0.0001366094299821808,1.772687423691896,0.13264512768904926,0.19018411148154019
2022-08-26,0.7069721912269485,0.020411003496376524,0.41319319418875894,0.00012062987290832413,1.8717778447007845,0.17892217480376046,0.07021655417630086
2022-08-29,1.2284147100193392,0.020312626745041962,0.4326734531941965,0.0003133770336224746,1.8436425908522316,0.32432322095668487,1.517278318249101
2022-08-30,0.7845376704807799,0.02027577131813042,0.43149176235712783,0.0001385839342374977,1.8331021249618038,0.3155030567129165,0.20500782976761908
2022-08-31,0.7878652392822255,0.02029662796875369,0.4365268610570812,0.00013411320767509497,1.8390670216650977,0.35308513497235333,0.17144356120922535
2022-09-01,0.5471031962285452,0.02029398078168757,0.4379761927903552,3.656534421318139e-05,1.8383099395386853,0.3639029762639834,-0.5609033271170331
2022-09-02,0.797090006786941,0.020321837388616423,0.43102872444836,0.00014230531010466473,1.8462767883791928,0.3120469324219349,0.2329462995596948
2022-09-06,0.5971064162989171,0.020048128122362854,0.4305352374350075,7.330984573022538e-05,1.7679973211038813,0.30836353540014444,-0.28504160760727426
2022-09-07,0.9110429085320014,0.019644959111569764,0.4152398583464326,0.000229322994389492,1.6526930209653545,0.19419851735990315,0.8862371872707467
2022-09-08,1.189607363947115,0.019061861139708706,0.4056506774339935,0.00037238273939778436,1.4859299470242904,0.12262467760607268,1.9602674672109819
2022-09-09,1.5500779506401088,0.018996565927693387,0.3723851904372273,0.0005519856060132226,1.4672558462817438,-0.12566958833598715,3.30864759397457
